 YYYY DOY   AU     ELAT   ELON
 1998 173  0.726  -3.19    6.55
 1998 174  0.726  -3.16    8.14
 1998 175  0.726  -3.12    9.74
 1998 176  0.726  -3.09   11.33
 1998 177  0.726  -3.05   12.92
 1998 178  0.726  -3.00   14.52
 1998 179  0.725  -2.96   16.11
 1998 180  0.725  -2.91   17.70
 1998 181  0.725  -2.86   19.30
 1998 182  0.725  -2.81   20.89
 1998 183  0.725  -2.75   22.49
 1998 184  0.725  -2.70   24.09
 1998 185  0.725  -2.64   25.68
 1998 186  0.725  -2.58   27.28
 1998 187  0.724  -2.52   28.88
 1998 188  0.724  -2.45   30.48
 1998 189  0.724  -2.38   32.07
 1998 190  0.724  -2.32   33.67
 1998 191  0.724  -2.25   35.27
 1998 192  0.724  -2.17   36.87
 1998 193  0.724  -2.10   38.47
 1998 194  0.723  -2.03   40.07
 1998 195  0.723  -1.95   41.67
 1998 196  0.723  -1.87   43.27
 1998 197  0.723  -1.79   44.88
 1998 198  0.723  -1.71   46.48
 1998 199  0.723  -1.63   48.08
 1998 200  0.723  -1.54   49.69
 1998 201  0.722  -1.46   51.29
 1998 202  0.722  -1.37   52.89
 1998 203  0.722  -1.28   54.50
 1998 204  0.722  -1.19   56.10
 1998 205  0.722  -1.10   57.71
 1998 206  0.722  -1.01   59.32
 1998 207  0.722  -0.92   60.92
 1998 208  0.722  -0.83   62.53
 1998 209  0.721  -0.74   64.14
 1998 210  0.721  -0.64   65.75
 1998 211  0.721  -0.55   67.35
 1998 212  0.721  -0.46   68.96
 1998 213  0.721  -0.36   70.57
 1998 214  0.721  -0.27   72.18
 1998 215  0.721  -0.17   73.79
 1998 216  0.721  -0.07   75.41
 1998 217  0.720   0.02   77.02
 1998 218  0.720   0.12   78.63
 1998 219  0.720   0.21   80.24
 1998 220  0.720   0.31   81.86
 1998 221  0.720   0.40   83.47
 1998 222  0.720   0.50   85.08
 1998 223  0.720   0.59   86.70
 1998 224  0.720   0.69   88.31
 1998 225  0.720   0.78   89.93
 1998 226  0.720   0.87   91.55
 1998 227  0.719   0.96   93.16
 1998 228  0.719   1.06   94.78
 1998 229  0.719   1.15   96.40
 1998 230  0.719   1.24   98.02
 1998 231  0.719   1.33   99.63
 1998 232  0.719   1.41  101.25
 1998 233  0.719   1.50  102.87
 1998 234  0.719   1.59  104.49
 1998 235  0.719   1.67  106.11
 1998 236  0.719   1.75  107.73
 1998 237  0.719   1.83  109.35
 1998 238  0.719   1.91  110.98
 1998 239  0.719   1.99  112.60
 1998 240  0.719   2.07  114.22
 1998 241  0.719   2.15  115.84
 1998 242  0.719   2.22  117.46
 1998 243  0.719   2.29  119.09
 1998 244  0.719   2.36  120.71
 1998 245  0.718   2.43  122.34
 1998 246  0.718   2.50  123.96
 1998 247  0.718   2.56  125.58
 1998 248  0.718   2.62  127.21
 1998 249  0.718   2.68  128.83
 1998 250  0.718   2.74  130.46
 1998 251  0.718   2.80  132.08
 1998 252  0.718   2.85  133.71
 1998 253  0.718   2.90  135.33
