 YYYY DOY   AU     ELAT   ELON
 1998 172  0.341   6.98  142.62
 1998 173  0.347   6.91  147.77
 1998 174  0.352   6.79  152.74
 1998 175  0.358   6.62  157.55
 1998 176  0.364   6.41  162.19
 1998 177  0.370   6.17  166.67
 1998 178  0.375   5.90  171.00
 1998 179  0.381   5.61  175.18
 1998 180  0.387   5.30  179.23
 1998 181  0.392   4.98  183.16
 1998 182  0.398   4.64  186.96
 1998 183  0.403   4.29  190.66
 1998 184  0.408   3.93  194.26
 1998 185  0.414   3.57  197.77
 1998 186  0.418   3.20  201.20
 1998 187  0.423   2.83  204.56
 1998 188  0.428   2.46  207.85
 1998 189  0.432   2.08  211.09
 1998 190  0.436   1.71  214.26
 1998 191  0.440   1.33  217.38
 1998 192  0.444   0.96  220.46
 1998 193  0.447   0.59  223.49
 1998 194  0.450   0.22  226.47
 1998 195  0.453  -0.14  229.42
 1998 196  0.456  -0.50  232.33
 1998 197  0.458  -0.85  235.20
 1998 198  0.460  -1.19  238.04
 1998 199  0.462  -1.53  240.86
 1998 200  0.463  -1.86  243.64
 1998 201  0.465  -2.19  246.41
 1998 202  0.466  -2.51  249.16
 1998 203  0.466  -2.82  251.89
 1998 204  0.467  -3.12  254.62
 1998 205  0.467  -3.42  257.35
 1998 206  0.467  -3.70  260.07
 1998 207  0.466  -3.98  262.81
 1998 208  0.465  -4.25  265.55
 1998 209  0.464  -4.52  268.31
 1998 210  0.463  -4.77  271.10
 1998 211  0.462  -5.02  273.90
 1998 212  0.460  -5.25  276.74
 1998 213  0.458  -5.48  279.61
 1998 214  0.455  -5.69  282.52
 1998 215  0.453  -5.89  285.46
 1998 216  0.450  -6.08  288.44
 1998 217  0.447  -6.26  291.47
 1998 218  0.443  -6.42  294.54
 1998 219  0.440  -6.56  297.66
 1998 220  0.436  -6.68  300.83
 1998 221  0.431  -6.79  304.05
 1998 222  0.427  -6.88  307.33
 1998 223  0.423  -6.94  310.67
 1998 224  0.418  -6.99  314.07
 1998 225  0.413  -7.00  317.55
 1998 226  0.408  -7.00  321.11
 1998 227  0.403  -6.96  324.76
 1998 228  0.397  -6.89  328.50
 1998 229  0.392  -6.80  332.35
 1998 230  0.386  -6.66  336.31
 1998 231  0.380  -6.49  340.39
 1998 232  0.375  -6.29  344.60
 1998 233  0.369  -6.03  348.94
 1998 234  0.363  -5.74  353.44
 1998 235  0.357  -5.39  358.08
 1998 236  0.352  -5.00    2.88
 1998 237  0.346  -4.56    7.84
 1998 238  0.341  -4.07   12.95
 1998 239  0.336  -3.52   18.22
 1998 240  0.331  -2.93   23.64
 1998 241  0.326  -2.30   29.21
 1998 242  0.322  -1.63   34.92
 1998 243  0.318  -0.92   40.76
 1998 244  0.315  -0.19   46.71
 1998 245  0.312   0.55   52.77
 1998 246  0.310   1.30   58.90
 1998 247  0.309   2.04   65.11
 1998 248  0.308   2.76   71.37
 1998 249  0.308   3.45   77.65
 1998 250  0.308   4.10   83.94
 1998 251  0.309   4.69   90.21
 1998 252  0.310   5.23   96.45
 1998 253  0.313   5.70  102.64
 1998 254  0.315   6.10  108.74
 1998 255  0.319   6.43  114.75
 1998 256  0.323   6.68  120.64
 1998 257  0.327   6.86  126.40
 1998 258  0.331   6.96  132.02
 1998 259  0.336   7.00  137.49
 1998 260  0.341   6.98  142.79
 1998 261  0.347   6.91  147.92
 1998 262  0.352   6.78  152.89
 1998 263  0.358   6.61  157.69
 1998 264  0.364   6.40  162.33
 1998 265  0.370   6.16  166.81
 1998 266  0.376   5.89  171.13
 1998 267  0.381   5.60  175.31
 1998 268  0.387   5.29  179.36
 1998 269  0.393   4.97  183.28
 1998 270  0.398   4.63  187.08
 1998 271  0.403   4.28  190.77
 1998 272  0.409   3.92  194.37
 1998 273  0.414   3.56  197.88
 1998 274  0.419   3.19  201.31
 1998 275  0.423   2.82  204.67
 1998 276  0.428   2.44  207.96
 1998 277  0.432   2.07  211.19
 1998 278  0.436   1.69  214.36
 1998 279  0.440   1.32  217.48
 1998 280  0.444   0.95  220.55
 1998 281  0.447   0.58  223.58
 1998 282  0.450   0.21  226.57
 1998 283  0.453  -0.15  229.51
 1998 284  0.456  -0.51  232.42
 1998 285  0.458  -0.86  235.29
 1998 286  0.460  -1.20  238.13
 1998 287  0.462  -1.54  240.95
 1998 288  0.463  -1.87  243.73
 1998 289  0.465  -2.20  246.50
 1998 290  0.466  -2.52  249.25
 1998 291  0.466  -2.83  251.98
 1998 292  0.467  -3.13  254.71
 1998 293  0.467  -3.42  257.43
 1998 294  0.467  -3.71  260.16
 1998 295  0.466  -3.99  262.89
 1998 296  0.465  -4.26  265.64
 1998 297  0.464  -4.53  268.40
 1998 298  0.463  -4.78  271.18
 1998 299  0.462  -5.03  273.99
 1998 300  0.460  -5.26  276.83
 1998 301  0.458  -5.49  279.70
 1998 302  0.455  -5.70  282.61
 1998 303  0.453  -5.90  285.55
 1998 304  0.450  -6.09  288.54
 1998 305  0.447  -6.26  291.57
 1998 306  0.443  -6.42  294.64
 1998 307  0.439  -6.56  297.76
 1998 308  0.436  -6.69  300.93
 1998 309  0.431  -6.79  304.15
 1998 310  0.427  -6.88  307.43
 1998 311  0.422  -6.95  310.77
 1998 312  0.418  -6.99  314.18
 1998 313  0.413  -7.00  317.66
 1998 314  0.408  -7.00  321.23
 1998 315  0.402  -6.96  324.88
 1998 316  0.397  -6.89  328.62
 1998 317  0.392  -6.79  332.47
 1998 318  0.386  -6.66  336.43
 1998 319  0.380  -6.49  340.52
 1998 320  0.375  -6.28  344.73
 1998 321  0.369  -6.03  349.08
 1998 322  0.363  -5.73  353.58
 1998 323  0.357  -5.38  358.23
 1998 324  0.351  -4.99    3.03
 1998 325  0.346  -4.54    7.99
 1998 326  0.341  -4.05   13.11
 1998 327  0.335  -3.51   18.39
 1998 328  0.331  -2.91   23.82
 1998 329  0.326  -2.28   29.39
 1998 330  0.322  -1.61   35.10
 1998 331  0.318  -0.90   40.94
 1998 332  0.315  -0.17   46.90
 1998 333  0.312   0.57   52.96
 1998 334  0.310   1.32   59.10
 1998 335  0.309   2.06   65.31
 1998 336  0.308   2.78   71.56
 1998 337  0.308   3.47   77.85
 1998 338  0.308   4.12   84.14
 1998 339  0.309   4.71   90.41
 1998 340  0.311   5.25   96.65
 1998 341  0.313   5.72  102.83
 1998 342  0.316   6.11  108.93
 1998 343  0.319   6.44  114.94
 1998 344  0.323   6.68  120.82
 1998 345  0.327   6.86  126.58
 1998 346  0.332   6.97  132.19
 1998 347  0.336   7.00  137.65
 1998 348  0.342   6.98  142.95
 1998 349  0.347   6.90  148.08
 1998 350  0.353   6.78  153.05
 1998 351  0.358   6.60  157.84
 1998 352  0.364   6.40  162.47
 1998 353  0.370   6.15  166.95
 1998 354  0.376   5.88  171.27
 1998 355  0.381   5.59  175.44
 1998 356  0.387   5.28  179.48
 1998 357  0.393   4.96  183.40
 1998 358  0.398   4.62  187.20
 1998 359  0.404   4.27  190.89
 1998 360  0.409   3.91  194.49
 1998 361  0.414   3.55  197.99
 1998 362  0.419   3.18  201.42
 1998 363  0.423   2.81  204.77
 1998 364  0.428   2.43  208.06
 1998 365  0.432   2.06  211.29
